ANMOIS,DEP,ARR,PC15_D,PC15_A,RETARD_D,RETARD_A,annee,mois
201209,LFLL,LFRS,0.066,0.060,5.6,4.6,2012,09
201209,LFLL,LFBZ,0.000,0.012,1.3,1.4,2012,09
201209,LFLL,LFLC,0.021,,1.1,,2012,09
201209,LFLL,LFBP,0.051,,2.6,,2012,09
201209,LFLL,LIPE,0.029,,2.4,,2012,09
201209,LFLL,LFBD,0.048,0.043,4.4,3.8,2012,09
201209,LFLL,LFMT,0.029,0.043,2.5,2.7,2012,09
201209,LFLL,EHAM,0.034,,2.9,,2012,09
201209,LFLL,LFRH,0.054,,3.1,,2012,09
201209,LFLL,LFML,0.046,0.056,2.8,3.6,2012,09
201209,LFLL,LIPZ,0.076,,3.9,,2012,09
201209,LFLL,LIMC,0.115,,6.1,,2012,09
201209,LFLL,LFBO,0.053,0.053,4.4,3.6,2012,09
201209,LFLL,EDDL,0.095,,5.0,,2012,09
201209,LFLL,EDDS,0.032,,2.9,,2012,09
201209,LFLL,LFKF,0.100,,3.5,,2012,09
201209,LFLL,LFKJ,0.087,0.043,6.0,4.9,2012,09
201209,LFLL,LFRB,0.040,,3.8,,2012,09
201209,LFLL,LPPT,0.365,,27.6,,2012,09
201209,LFLL,LFPO,0.111,0.123,7.0,6.6,2012,09
201209,LFLL,LFRN,0.057,,3.2,,2012,09
201209,LFLL,EGKK,0.073,,2.8,,2012,09
201209,LFLL,EDDB,0.235,,15.4,,2012,09
201209,LFLL,LEMD,0.171,,9.4,,2012,09
201209,LFLL,LPPR,0.182,,6.6,,2012,09
201209,LFLL,LFOH,0.019,,1.3,,2012,09
201209,LFLL,LOWW,0.080,,7.0,,2012,09
201209,LFLL,EGSS,0.200,,10.6,,2012,09
201209,LFLL,LFKB,0.067,,3.9,,2012,09
201209,LFLL,GMMN,0.222,,14.1,,2012,09
201209,LFLL,GMMX,0.038,,2.3,,2012,09
201209,LFLL,EDDM,0.157,,8.2,,2012,09
201209,LFLL,GMAD,0.000,,3.8,,2012,09
201209,LFLL,LEPA,0.200,,5.7,,2012,09
201209,LFLL,ESGG,0.000,,1.5,,2012,09
201209,LFLL,LFRK,0.026,,2.8,,2012,09
201209,LFLL,EDDT,0.048,,2.0,,2012,09
201209,LFLL,LFBL,0.063,,5.0,,2012,09
201209,LFLL,LFBI,0.022,,3.5,,2012,09
201209,LFLL,DTTA,0.478,,36.3,,2012,09
201209,LFLL,LGIR,0.385,,19.1,,2012,09
201209,LFLL,DTTJ,0.250,,32.5,,2012,09
201209,LFLL,EDDF,0.139,,8.7,,2012,09
201209,LFLL,EGLL,0.200,,8.7,,2012,09
201209,LFLL,DABB,0.091,,13.0,,2012,09
201209,LFLL,DAAG,0.393,,26.8,,2012,09
201209,LFLL,DAOO,0.444,,36.4,,2012,09
201209,LFLL,DTMB,0.500,,39.7,,2012,09
201209,LFLL,DAAS,0.450,,21.8,,2012,09
201209,LFLL,DABC,0.360,,16.5,,2012,09
201209,LFLL,LROP,0.059,,3.8,,2012,09
201209,LFLL,LTBA,0.250,,9.8,,2012,09
201209,LFLL,CYUL,0.235,,18.4,,2012,09
201209,LFLL,DAAE,0.667,,32.7,,2012,09
201209,EBBR,LFLL,,0.095,,7.4,2012,09
201209,EBBR,LFMN,,0.240,,11.4,2012,09
201209,EBBR,LFPG,,0.442,,18.2,2012,09
201209,EBBR,LFST,,0.167,,12.3,2012,09
201209,EBBR,LFRS,,0.044,,2.1,2012,09
201209,EBBR,LFML,,0.053,,3.1,2012,09
201209,EBBR,LFBO,,0.130,,7.2,2012,09
201209,LSZH,LFLL,,0.142,,6.6,2012,09
201209,LSZH,LFMN,,0.217,,8.7,2012,09
201209,LSZH,LFPG,,0.189,,8.4,2012,09
201209,LSZH,LFPO,,0.261,,10.7,2012,09
201209,LSGG,LFMN,,0.107,,4.9,2012,09
201209,LSGG,LFPG,,0.070,,3.4,2012,09
201209,LSGG,LFRS,,0.161,,6.0,2012,09
201209,LSGG,LFBZ,,0.214,,22.0,2012,09
201209,LSGG,LFBD,,0.140,,6.7,2012,09
201209,LSGG,LFBO,,0.095,,2.0,2012,09
201209,LSGG,LFKJ,,0.300,,21.3,2012,09
201209,LSGG,LFPO,,0.065,,5.5,2012,09
201209,EGCC,LFMN,,0.111,,3.4,2012,09
201209,EGCC,LFPG,,0.101,,6.7,2012,09
201209,EGCC,LFRS,,0.200,,4.9,2012,09
201209,EGCC,LFBO,,0.000,,0.4,2012,09
201209,EGCC,LFOB,,0.000,,3.4,2012,09
201209,LHBP,LFPG,,0.078,,4.7,2012,09
201209,LHBP,LFOB,,0.147,,4.9,2012,09
201209,LFPG,LFSB,0.078,0.078,5.7,4.1,2012,09
201209,LFPG,EKCH,0.102,,6.1,,2012,09
201209,LFPG,EDDH,0.108,,6.1,,2012,09
201209,LFPG,LSZH,0.200,,9.4,,2012,09
201209,LFPG,LIRF,0.179,,10.2,,2012,09
201209,LFPG,LFLL,0.161,0.109,6.7,5.5,2012,09
201209,LFPG,LKPR,0.132,,6.9,,2012,09
201209,LFPG,LEBL,0.164,,8.1,,2012,09
201209,LFPG,EBBR,0.373,,14.9,,2012,09
201209,LFPG,LFMN,0.160,0.175,8.5,8.4,2012,09
201209,LFPG,LSGG,0.148,,6.3,,2012,09
201209,LFPG,LHBP,0.237,,9.3,,2012,09
201209,LFPG,EGCC,0.130,,8.5,,2012,09
201209,LFPG,LFST,0.108,0.042,5.9,2.8,2012,09
201209,LFPG,EIDW,0.114,,8.0,,2012,09
201209,LFPG,EICK,0.200,,8.0,,2012,09
201209,LFPG,LFRS,0.098,0.067,5.7,4.3,2012,09
201209,LFPG,LFBZ,0.037,0.000,1.3,0.7,2012,09
201209,LFPG,LFLC,0.130,,5.7,,2012,09
201209,LFPG,LFBP,0.111,,8.1,,2012,09
201209,LFPG,LIPE,0.191,,8.3,,2012,09
201209,LFPG,LFBD,0.161,0.114,8.7,6.8,2012,09
201209,LFPG,LFMT,0.067,0.075,4.8,4.7,2012,09
201209,LFPG,EHAM,0.107,,5.7,,2012,09
201209,LFPG,LFML,0.182,0.116,7.9,5.5,2012,09
201209,LFPG,LIPZ,0.219,,9.8,,2012,09
201209,LFPG,LIMC,0.211,,9.1,,2012,09
201209,LFPG,LFBO,0.097,0.097,6.2,5.2,2012,09
201209,LFPG,EDDL,0.158,,7.5,,2012,09
201209,LFPG,EDDS,0.079,,5.2,,2012,09
201209,LFPG,EDDW,0.030,,3.3,,2012,09
201209,LFPG,LFKF,0.143,,6.9,,2012,09
201209,LFPG,LFKJ,0.149,0.149,9.4,7.8,2012,09
201209,LFPG,EDDV,0.067,,3.3,,2012,09
201209,LFPG,LFRB,0.094,,6.3,,2012,09
201209,LFPG,LPPT,0.228,,9.0,,2012,09
201209,LFPG,LFRN,0.112,,8.3,,2012,09
201209,LFPG,LIRN,0.094,,6.5,,2012,09
201209,LFPG,EGGW,0.234,,19.3,,2012,09
201209,LFPG,LEMD,0.183,,11.4,,2012,09
201209,LFPG,EGGD,0.077,,5.0,,2012,09
201209,LFPG,EGPH,0.113,,7.4,,2012,09
201209,LFPG,LPPR,0.119,,5.3,,2012,09
201209,LFPG,LJLJ,0.073,,8.2,,2012,09
201209,LFPG,EGAA,0.080,,3.3,,2012,09
201209,LFPG,LOWW,0.172,,9.2,,2012,09
201209,LFPG,EGPF,0.308,,13.2,,2012,09
201209,LFPG,LFKB,0.000,,1.7,,2012,09
201209,LFPG,EPKK,0.033,,4.6,,2012,09
201209,LFPG,GMMN,0.257,,11.1,,2012,09
201209,LFPG,GMMX,0.244,,11.6,,2012,09
201209,LFPG,EGGP,0.233,,11.2,,2012,09
201209,LFPG,LIPX,0.049,,4.2,,2012,09
201209,LFPG,LEMG,0.083,,4.0,,2012,09
201209,LFPG,LICC,0.053,,2.8,,2012,09
201209,LFPG,EKBI,0.075,,4.7,,2012,09
201209,LFPG,LEVX,0.164,,7.2,,2012,09
201209,LFPG,EDDM,0.189,,9.1,,2012,09
201209,LFPG,EDDN,0.202,,10.2,,2012,09
201209,LFPG,LICJ,0.182,,7.8,,2012,09
201209,LFPG,GMAD,0.267,,12.3,,2012,09
201209,LFPG,GMFF,0.077,,3.0,,2012,09
201209,LFPG,GMTT,0.111,,4.0,,2012,09
201209,LFPG,LDSP,0.267,,18.3,,2012,09
201209,LFPG,EGBB,0.133,,7.7,,2012,09
201209,LFPG,LEPA,0.276,,14.2,,2012,09
201209,LFPG,EGPD,0.059,,4.1,,2012,09
201209,LFPG,ESGG,0.120,,5.9,,2012,09
201209,LFPG,EGNT,0.202,,10.9,,2012,09
201209,LFPG,EGFF,0.067,,10.9,,2012,09
201209,LFPG,ESSA,0.092,,5.9,,2012,09
201209,LFPG,EDDT,0.273,,12.1,,2012,09
201209,LFPG,GQNN,0.923,,33.2,,2012,09
201209,LFPG,SBGL,0.256,,14.2,,2012,09
201209,LFPG,LGAV,0.287,,12.8,,2012,09
201209,LFPG,LDDU,0.385,,11.5,,2012,09
201209,LFPG,LEST,0.571,,33.4,,2012,09
201209,LFPG,LIML,0.112,,7.5,,2012,09
201209,LFPG,LIRP,0.200,,8.9,,2012,09
201209,LFPG,LIMJ,0.115,,4.9,,2012,09
201209,LFPG,DTTA,0.326,,12.4,,2012,09
201209,LFPG,GMME,0.383,,15.3,,2012,09
201209,LFPG,ELLX,0.033,,3.3,,2012,09
201209,LFPG,LEVC,0.144,,10.8,,2012,09
201209,LFPG,EETN,0.375,,23.4,,2012,09
201209,LFPG,ENZV,0.118,,8.0,,2012,09
201209,LFPG,LYPG,0.120,,5.5,,2012,09
201209,LFPG,DNMM,0.933,,30.3,,2012,09
201209,LFPG,DIAP,0.667,,26.0,,2012,09
201209,LFPG,DFFD,0.769,,19.5,,2012,09
201209,LFPG,DBBB,0.737,,29.2,,2012,09
201209,LFPG,LGIR,0.200,,14.4,,2012,09
201209,LFPG,HECA,0.586,,36.1,,2012,09
201209,LFPG,FTTJ,0.385,,16.5,,2012,09
201209,LFPG,EGTE,0.167,,27.1,,2012,09
201209,LFPG,EFHK,0.093,,5.4,,2012,09
201209,LFPG,KATL,0.533,,17.5,,2012,09
201209,LFPG,OERK,0.514,,19.6,,2012,09
201209,LFPG,EPWA,0.174,,8.7,,2012,09
201209,LFPG,ULLI,0.233,,10.3,,2012,09
201209,LFPG,LIMF,0.090,,5.8,,2012,09
201209,LFPG,DTTJ,0.316,,27.3,,2012,09
201209,LFPG,EDDF,0.158,,8.1,,2012,09
201209,LFPG,OLBA,0.151,,12.4,,2012,09
201209,LFPG,KIAD,0.381,,24.6,,2012,09
201209,LFPG,OMAA,0.317,,11.2,,2012,09
201209,LFPG,SBGR,0.203,,9.4,,2012,09
201209,LFPG,EGNM,0.115,,15.2,,2012,09
201209,LFPG,BIKF,0.109,,5.8,,2012,09
201209,LFPG,LEBB,0.083,,4.2,,2012,09
201209,LFPG,ENGM,0.114,,7.2,,2012,09
201209,LFPG,EDDK,0.192,,12.1,,2012,09
201209,LFPG,UUEE,0.204,,10.8,,2012,09
201209,LFPG,LBSF,0.211,,10.9,,2012,09
201209,LFPG,LIRQ,0.106,,8.2,,2012,09
201209,LFPG,UBBB,0.235,,7.0,,2012,09
201209,LFPG,OTBD,0.304,,10.6,,2012,09
201209,LFPG,EVRA,0.400,,14.4,,2012,09
201209,LFPG,FCBB,0.714,,24.0,,2012,09
201209,LFPG,LMML,0.154,,10.9,,2012,09
201209,LFPG,LDZA,0.111,,9.7,,2012,09
201209,LFPG,EGLL,0.223,,10.7,,2012,09
201209,LFPG,LCLK,0.556,,23.4,,2012,09
201209,LFPG,LLBG,0.429,,15.1,,2012,09
201209,LFPG,DTTX,0.381,,15.1,,2012,09
201209,LFPG,DAAG,0.346,,24.9,,2012,09
201209,LFPG,DAOO,0.296,,19.6,,2012,09
201209,LFPG,GOOY,0.433,,16.8,,2012,09
201209,LFPG,OEJN,0.167,,8.9,,2012,09
